Date,Open,High,Low,Close,Adj Close,Volume
2005-02-01,42.610001,44.189999,41.310001,42.830002,26.555683,55014900
2005-03-01,43.009998,46.750000,42.110001,44.419998,27.576000,81015600
2005-04-01,44.509998,44.849998,41.509998,43.060001,26.731726,62086400
2005-05-01,43.299999,46.740002,43.040001,45.340000,28.147141,49324200
2005-06-01,45.340000,47.389999,44.009998,45.990002,28.583956,61036300
2005-07-01,46.240002,48.180000,45.810001,47.860001,29.746208,47466300
2005-08-01,48.320000,49.009998,45.150002,46.330002,28.795271,56318800
2005-09-01,46.220001,46.750000,40.980000,43.450001,27.042377,90252800
2005-10-01,43.450001,46.299999,42.619999,45.430000,28.274687,82818500
2005-11-01,45.430000,48.250000,44.529999,45.680000,28.430267,67959800
2005-12-01,45.770000,47.049999,43.840000,44.259998,27.585199,57426100
2006-01-01,44.630001,45.500000,42.130001,43.279999,26.974417,76671400
2006-02-01,43.169998,46.389999,42.610001,44.860001,27.959167,55653400
2006-03-01,45.029999,46.070000,43.029999,43.130001,26.919960,72657500
2006-04-01,43.259998,44.630001,41.529999,41.930000,26.170973,61791300
2006-05-01,42.599998,42.779999,39.549999,40.599998,25.340841,92282100
2006-06-01,40.549999,45.369999,40.450001,44.840000,28.032850,98835800
2006-07-01,44.750000,48.169998,44.709999,46.779999,29.245684,74832300
2006-08-01,46.500000,50.000000,45.880001,49.459999,30.921169,66860300
2006-09-01,49.599998,51.599998,42.950001,44.389999,27.795153,163727100
2006-10-01,44.779999,45.099998,41.360001,43.680000,27.350578,169771100
2006-11-01,43.250000,43.779999,39.910000,40.490002,25.353148,151018400
2006-12-01,40.450001,47.279999,40.049999,45.889999,28.786268,117791900
2007-01-01,45.889999,46.689999,44.799999,45.299999,28.416172,77275500
2007-02-01,45.320000,46.490002,43.389999,44.700001,28.039799,77867800
2007-03-01,44.020000,49.099998,43.230000,45.889999,28.836193,131356300
2007-04-01,45.740002,46.770000,43.869999,43.900002,27.585726,87681200
2007-05-01,44.130001,45.919998,43.500000,45.130001,28.358629,97336600
2007-06-01,45.130001,45.500000,43.310001,43.540001,27.407578,116007000
2007-07-01,43.840000,45.900002,43.500000,44.180000,27.810450,132847600
2007-08-01,44.169998,47.720001,43.599998,45.070000,28.370680,130650900
2007-09-01,45.009998,48.090000,43.740002,47.240002,29.800129,88599600
2007-10-01,41.439999,47.240002,37.099998,39.650002,25.012177,312786500
2007-11-01,39.599998,40.349998,36.500000,36.590000,23.081848,172865500
2007-12-01,36.820000,39.250000,35.799999,38.080002,24.081074,155455600
2008-01-01,37.990002,38.669998,32.500000,35.040001,22.158632,201483400
2008-02-01,35.180000,37.980000,34.259998,36.509998,23.088236,120248100
2008-03-01,36.389999,38.889999,34.759998,38.090000,24.150780,128183900
2008-04-01,38.169998,39.000000,34.700001,34.849998,22.096472,112867000
2008-05-01,34.930000,36.720001,34.590000,36.020000,22.838310,100061100
2008-06-01,35.900002,37.200001,32.410000,32.509998,20.666782,145700000
2008-07-01,32.369999,35.310001,31.250000,34.340000,21.830128,177528400
2008-08-01,34.520000,37.849998,33.529999,36.430000,23.158758,115468900
2008-09-01,36.660000,37.240002,30.260000,30.959999,19.741299,198209000
2008-10-01,30.820000,30.959999,21.280001,25.459999,16.234283,278709600
2008-11-01,25.440001,25.940001,21.500000,24.740000,15.775175,148117900
2008-12-01,24.480000,27.010000,22.770000,24.670000,15.808217,159016500
2009-01-01,24.650000,28.299999,24.610001,27.410000,17.563963,170645400
2009-02-01,27.150000,28.389999,23.040001,23.860001,15.289186,178310700
2009-03-01,23.379999,27.500000,21.389999,25.959999,16.704769,221494200
2009-04-01,25.590000,31.900000,25.500000,31.430000,20.224615,190113400
2009-05-01,31.430000,32.200001,29.260000,29.790001,19.169302,131480800
2009-06-01,30.190001,32.000000,29.120001,29.400000,18.988234,170818000
2009-07-01,29.480000,31.420000,27.889999,31.049999,20.053905,151643500
2009-08-01,31.340000,34.299999,29.950001,33.880001,21.881680,135122700
2009-09-01,33.709999,38.439999,33.099998,37.470001,24.309158,148584500
2009-10-01,37.500000,40.689999,36.980000,37.830002,24.542713,183377700
2009-11-01,38.119999,40.259998,37.849998,38.889999,25.230412,134691400
2009-12-01,39.000000,39.450001,35.099998,36.720001,23.906403,157844000
2010-01-01,37.009998,37.299999,35.919998,36.049999,23.470203,127590600
2010-02-01,36.290001,36.840000,33.000000,35.240002,22.942858,167271400
2010-03-01,35.230000,37.599998,33.439999,37.090000,24.247200,187541400
2010-04-01,37.160000,37.950001,34.770000,35.150002,22.978952,119313500
2010-05-01,35.330002,36.709999,31.780001,32.040001,20.945826,164956800
2010-06-01,31.840000,33.150002,26.260000,26.700001,17.522568,331481500
2010-07-01,26.670000,30.260000,26.260000,28.549999,18.736673,241354300
2010-08-01,29.110001,29.299999,26.770000,26.879999,17.640699,165303400
2010-09-01,27.059999,34.119999,27.049999,33.500000,22.122576,167073800
2010-10-01,33.740002,35.180000,33.040001,33.880001,22.373516,134963500
2010-11-01,33.959999,36.150002,33.380001,34.849998,23.014082,135051500
2010-12-01,35.279999,40.200001,35.240002,38.959999,25.856625,163209300
2011-01-01,39.139999,42.200001,39.060001,40.439999,26.838865,132887700
2011-02-01,40.630001,43.750000,40.599998,43.340000,28.763514,113041100
2011-03-01,43.520000,47.110001,38.450001,40.139999,26.750320,188421300
2011-04-01,40.320000,43.209999,40.279999,42.720001,28.469711,100556700
2011-05-01,42.970001,45.240002,42.070000,43.630001,29.076151,122436200
2011-06-01,43.660000,45.340000,41.320000,42.459999,28.408657,169413900
2011-07-01,42.299999,44.259998,38.799999,39.040001,26.120449,149371000
2011-08-01,39.450001,39.450001,33.490002,35.209999,23.557901,226839900
2011-09-01,35.320000,37.610001,32.000000,32.889999,22.139360,179846800
2011-10-01,32.900002,34.500000,31.600000,33.200001,22.348034,158881200
2011-11-01,32.650002,33.750000,30.340000,33.720001,22.698061,187116600
2011-12-01,33.580002,35.340000,30.799999,33.060001,22.405684,192823300
2012-01-01,33.450001,35.000000,32.320000,33.360001,22.609009,163616600
2012-02-01,33.480000,35.349998,32.939999,33.160000,22.473469,207246100
2012-03-01,32.720001,35.490002,32.529999,33.490002,22.845547,191300200
2012-04-01,33.560001,36.040001,32.070000,35.060001,23.916529,178099700
2012-05-01,35.070000,35.400002,30.340000,30.520000,20.819525,146982500
2012-06-01,30.520000,32.180000,28.530001,29.580000,20.317755,244196100
2012-07-01,29.690001,36.459999,29.350000,36.360001,24.974764,246251500
2012-08-01,36.500000,36.849998,35.080002,35.759998,24.562647,139249300
2012-09-01,35.639999,36.900002,34.630001,36.439999,25.223967,139205300
2012-10-01,36.480000,37.349998,35.049999,35.230000,24.386398,132725000
2012-11-01,35.270000,35.689999,31.879999,33.910000,23.472687,125828800
2012-12-01,33.939999,37.750000,33.939999,37.009998,25.827795,148423500
2013-01-01,37.860001,40.310001,37.060001,39.959999,27.886477,145029200
2013-02-01,40.230000,42.000000,39.930000,40.939999,28.570389,111699800
2013-03-01,40.869999,47.759998,39.740002,47.680000,33.493511,155458000
2013-04-01,47.400002,50.349998,45.790001,49.509998,34.779037,116457100
2013-05-01,49.509998,51.250000,47.720001,47.759998,33.549713,122691300
2013-06-01,47.720001,51.220001,44.040001,44.200001,31.223793,134406900
2013-07-01,44.970001,51.619999,43.310001,50.250000,35.497643,139526100
2013-08-01,50.439999,51.259998,46.750000,48.070000,33.957645,75677900
2013-09-01,48.220001,56.840000,48.180000,53.799999,38.249527,128301000
2013-10-01,54.110001,60.820000,54.110001,59.240002,42.117134,135465800
2013-11-01,59.599998,60.930000,58.419998,59.200001,42.088692,88973800
2013-12-01,59.330002,59.689999,54.860001,57.439999,41.050838,122663500
2014-01-01,57.200001,62.240002,56.349998,57.349998,40.986504,132782000
2014-02-01,57.330002,69.839996,55.270000,67.949997,48.562042,158864700
2014-03-01,67.599998,69.449997,63.070000,66.029999,47.418201,133808700
2014-04-01,65.610001,68.309998,62.799999,67.900002,48.761108,134968000
2014-05-01,68.029999,71.970001,67.500000,71.910004,51.640812,101024200
2014-06-01,71.610001,76.389999,71.220001,74.129997,53.483650,127270600
2014-07-01,74.300003,74.370003,68.480003,68.769997,49.616497,122578200
2014-08-01,68.000000,72.910004,57.750000,60.520000,43.664249,292876200
2014-09-01,60.230000,65.190002,58.389999,59.270000,42.996529,162409700
2014-10-01,59.580002,64.360001,58.520000,64.220001,46.587433,138860200
2014-11-01,64.320000,69.370003,64.029999,68.610001,49.772091,79690200
2014-12-01,68.290001,77.980003,66.459999,76.199997,55.556591,137961700
2015-01-01,76.110001,77.940002,73.160004,73.750000,53.770325,79092300
2015-02-01,73.059998,83.769997,73.000000,83.080002,60.572712,86465100
2015-03-01,83.239998,88.809998,81.010002,84.680000,62.001331,139588200
2015-04-01,84.720001,93.419998,82.639999,82.930000,60.720028,116619700
2015-05-01,82.529999,87.180000,82.529999,85.839996,62.850666,53140800
2015-06-01,86.169998,89.379997,82.919998,84.440002,62.068573,79501100
2015-07-01,85.080002,97.269997,84.730003,96.629997,71.028931,84485400
2015-08-01,96.120003,97.300003,76.010002,86.550003,63.619526,92104600
2015-09-01,84.339996,92.070000,81.449997,83.099998,61.323273,92349100
2015-10-01,83.570000,95.739998,82.510002,84.680000,62.489216,125007100
2015-11-01,84.300003,89.150002,78.900002,84.029999,62.009548,98712400
2015-12-01,84.430000,87.050003,81.029999,85.160004,63.121159,87726300
2016-01-01,83.699997,83.769997,76.620003,79.720001,59.089001,114179700
2016-02-01,78.889999,80.709999,71.500000,78.940002,58.510857,94084900
2016-03-01,79.919998,84.580002,78.330002,84.239998,62.732246,72773300
2016-04-01,84.239998,86.839996,78.279999,79.279999,59.038601,95970500
2016-05-01,79.099998,81.919998,75.739998,77.400002,57.638592,100484200
2016-06-01,77.419998,85.089996,77.220001,83.269997,62.295177,115031000
2016-07-01,83.709999,84.970001,78.800003,79.250000,59.287777,104575500
2016-08-01,78.879997,83.879997,78.050003,80.709999,60.380024,89235200
2016-09-01,81.040001,85.080002,78.900002,80.620003,60.587070,95708800
2016-10-01,80.269997,83.339996,76.260002,82.730003,62.172783,87573500
2016-11-01,81.949997,86.260002,77.019997,84.730003,63.675804,107808900
2016-12-01,84.830002,88.000000,82.419998,82.760002,62.481876,76330700
2017-01-01,83.099998,85.260002,80.309998,81.940002,61.862804,88136000
2017-02-01,81.199997,88.000000,80.160004,86.379997,65.214935,69704600
2017-03-01,86.820000,87.230003,82.550003,83.050003,62.984356,73518300
2017-04-01,83.360001,89.690002,80.300003,86.540001,65.631149,82154100
2017-05-01,86.360001,86.870003,80.129997,81.019997,61.444824,85844100
2017-06-01,81.290001,83.500000,75.180000,78.309998,59.652866,140243500
2017-07-01,78.519997,80.959999,76.790001,80.669998,61.450607,107617400
2017-08-01,80.430000,82.239998,79.250000,81.500000,62.082870,100612500
2017-09-01,81.629997,83.889999,76.620003,77.220001,59.114017,134366000
2017-10-01,77.320000,77.500000,63.820000,66.269997,50.731510,207164500
2017-11-01,65.339996,73.830002,65.169998,72.760002,55.699776,159406200
2017-12-01,71.959999,73.959999,69.500000,72.620003,55.914215,120399300
2018-01-01,73.279999,80.680000,70.730003,75.260002,57.946911,127456900
2018-02-01,74.529999,76.349998,66.339996,68.889999,53.042267,106097400
2018-03-01,69.059998,71.180000,64.760002,65.470001,50.706039,122681400
2018-04-01,65.099998,68.150002,61.740002,66.449997,51.465050,117097100
2018-05-01,65.370003,66.230003,61.560001,62.389999,48.320595,103151400
2018-06-01,62.560001,68.870003,59.070000,60.020000,46.769627,190506800
2018-07-01,59.680000,69.529999,59.500000,67.620003,52.691814,180765300
2018-08-01,67.610001,70.949997,65.540001,68.559998,53.424282,124995400
2018-09-01,68.529999,74.570000,67.419998,72.900002,57.167469,90642700
2018-10-01,72.879997,80.250000,69.690002,79.769997,62.554852,168569400
2018-11-01,79.480003,85.309998,78.279999,84.669998,66.397377,118463600
2018-12-01,85.029999,86.309998,64.510002,68.330002,53.873104,155700500
2019-01-01,67.199997,72.879997,66.690002,72.260002,56.971626,110441200
2019-02-01,72.379997,74.940002,69.529999,71.190002,56.127998,93376800
2019-03-01,70.849998,71.180000,59.330002,63.270000,50.188560,151777400
2019-04-01,63.549999,64.110001,52.250000,53.570000,42.494087,201758600
2019-05-01,53.570000,54.330002,49.310001,49.340000,39.138668,111719500
2019-06-01,49.520000,55.189999,49.520000,54.669998,43.733185,122039500
2019-07-01,55.360001,56.950001,53.660000,54.490002,43.589188,93618000
2019-08-01,54.599998,55.770000,49.029999,51.189999,40.949364,103203700
2019-09-01,51.250000,58.099998,50.040001,55.310001,44.650253,99636600
2019-10-01,55.259998,56.810001,51.570000,54.779999,44.222408,103688400
2019-11-01,55.080002,64.500000,55.009998,59.599998,48.113457,163083400
2019-12-01,59.299999,59.919998,56.759998,58.959999,47.951374,88029800
2020-01-01,59.279999,59.779999,50.660000,50.849998,41.355618,121820700
2020-02-01,51.040001,54.529999,44.610001,45.759998,37.215981,104997400
2020-03-01,45.919998,54.230000,40.520000,45.750000,37.533123,223206000
2020-04-01,45.070000,46.450001,39.410000,43.290001,35.514950,142649600
2020-05-01,42.770000,43.700001,36.650002,42.939999,35.227810,152313500
2020-06-01,42.709999,47.380001,39.830002,42.389999,35.170818,130386300
2020-07-01,42.150002,43.810001,38.049999,40.709999,33.776924,164680600
2020-08-01,40.580002,44.049999,38.000000,38.020000,31.545042,117716500
2020-09-01,37.889999,38.330002,33.880001,35.919998,30.145277,160973600
2020-10-01,35.840000,38.220001,33.360001,34.040001,28.567518,147627200
2020-11-01,34.529999,44.869999,34.369999,38.009998,31.899275,196140400
2020-12-01,38.380001,43.669998,38.310001,39.880001,33.866375,153052500
2021-01-01,40.169998,55.490002,39.939999,50.250000,42.672642,163004100
2021-02-01,49.810001,51.799999,47.549999,47.930000,40.702480,97449400
2021-03-01,48.419998,56.779999,46.310001,54.900002,47.065910,146081500
2021-04-01,54.570000,57.049999,52.119999,53.099998,45.522766,103269900
2021-05-01,53.439999,55.959999,51.119999,52.660000,45.145550,104457900
2021-06-01,52.990002,55.820000,50.650002,52.610001,45.491119,98038600
2021-07-01,51.820000,52.029999,45.090000,47.150002,40.769932,159839900
2021-08-01,47.419998,50.869999,46.189999,50.750000,43.882797,104164800
2021-09-01,50.730000,51.930000,46.919998,47.049999,41.084076,107812000
2021-10-01,47.130001,51.779999,45.230000,47.020000,41.057880,137689800
2021-11-01,47.099998,50.980000,44.410000,44.799999,39.119373,131031600
2021-12-01,45.299999,52.919998,43.619999,52.160000,45.986290,124681800
2022-01-01,52.259998,55.000000,49.009998,49.759998,43.870354,143600900
2022-02-01,49.330002,50.970001,43.930000,46.090000,40.634735,121279400
2022-03-01,45.910000,48.970001,44.169998,44.770000,39.869007,162304600
2022-04-01,44.540001,47.279999,42.340000,42.400002,37.758453,154223200
2022-05-01,42.630001,45.299999,39.720001,43.830002,39.031906,158874000
2022-06-01,43.900002,43.990002,37.709999,37.900002,34.147533,138086400
2022-07-01,37.630001,39.790001,36.570000,39.619999,35.697231,121564400
2022-08-01,39.619999,42.099998,35.029999,35.060001,31.588720,150091000
2022-09-01,34.959999,37.200001,31.230000,31.400000,28.627310,156117400
2022-10-01,31.809999,36.810001,30.389999,36.500000,33.276970,190025400
2022-11-01,36.660000,41.970001,35.139999,41.500000,37.835457,141330400
2022-12-01,41.509998,42.290001,36.970001,37.360001,34.461941,111968700
2023-01-01,37.849998,37.950001,34.299999,36.860001,34.000729,147716600
2023-02-01,36.820000,37.959999,35.270000,35.529999,32.773895,110375100
2023-03-01,35.250000,36.209999,31.860001,34.580002,32.319729,179213600
2023-04-01,34.889999,36.580002,34.369999,35.250000,32.945934,115406400
2023-05-01,35.299999,35.360001,29.480000,30.370001,28.384909,163321100
2023-06-01,30.290001,32.889999,28.139999,28.490000,27.032776,237955000
2023-07-01,28.389999,31.320000,28.309999,29.969999,28.437075,174166600
2023-08-01,29.969999,30.790001,24.969999,25.309999,24.015427,176663000
2023-09-01,25.170000,25.260000,20.580000,22.240000,21.482109,309859500
2023-10-01,22.240000,24.629999,20.480000,21.080000,20.361639,294287600
2023-11-01,20.969999,22.219999,19.680000,19.940001,19.260489,207142200
2023-12-01,19.950001,27.020000,19.750000,26.110001,25.817156,282898800
